vignette,T,F,F_uncorrelated,T_and_F1,T_and_F2
"{NAME} is a {RACE} {AGE}-year-old climate scientist who has published extensively on Arctic ice melt and sea level projections. They have testified before Congress twice and appear regularly in documentary films about climate change. They are frustrated by political inaction and have increasingly moved toward public advocacy.","climate scientist","active in a science-based climate policy advocacy organization","enjoys competitive dressage","climate scientist who is active in a science-based climate policy advocacy organization","climate scientist who enjoys competitive dressage"
"{NAME} is a {RACE} {AGE}-year-old insurance underwriter who assesses risk for commercial property policies. They are systematic and risk-averse in both professional and personal life. They spend weekends gardening and attending their children's school events. They have no strong views on social issues and prefer routine.","insurance underwriter","member of a community garden cooperative","campaigns for climate liability legislation","insurance underwriter and member of a community garden cooperative","insurance underwriter who campaigns for climate liability legislation"
"{NAME} is a {RACE} {AGE}-year-old public defender in a capital case unit who represents clients facing the death penalty. They have won three exonerations through post-conviction litigation. They are publicly opposed to capital punishment and have spoken at abolition rallies. They describe the work as morally urgent and personally consuming.","public defender","active in a death penalty abolition organization","enjoys competitive orienteering","public defender who is active in a death penalty abolition organization","public defender who enjoys competitive orienteering"
"{NAME} is a {RACE} {AGE}-year-old hotel operations manager who oversees a large downtown property. They are focused on guest experience metrics and staff scheduling efficiency. They enjoy craft beer and travel in their personal time and are active in their city's hospitality industry association. They have little interest in political organizing.","hotel operations manager","member of a hospitality industry professional association","campaigns for hotel worker union rights","hotel operations manager and member of a hospitality industry professional association","hotel operations manager who campaigns for hotel worker union rights"
"{NAME} is a {RACE} {AGE}-year-old urban farmer who runs a cooperative growing operation on reclaimed vacant lots in a food desert. They have pushed city hall for zoning relief and grant funding and helped establish a sliding-scale produce stand. They see food production as political and speak about land access and food sovereignty regularly.","urban farmer","active in a food sovereignty and community land access organization","enjoys competitive table tennis","urban farmer who is active in a food sovereignty and community land access organization","urban farmer who enjoys competitive table tennis"
"{NAME} is a {RACE} {AGE}-year-old radiologist who reads imaging scans at a suburban hospital. They work independently and value the intellectual precision of diagnostic work. They play tennis on weekends and are involved in a local wine appreciation group. They have no public profile and prefer to keep a low presence outside work.","radiologist","member of a wine appreciation and tasting club","advocates for universal healthcare","radiologist and member of a wine appreciation and tasting club","radiologist who advocates for universal healthcare"
"{NAME} is a {RACE} {AGE}-year-old domestic violence advocate who works at a shelter for survivors. They have lobbied for stronger protective order enforcement and trained police officers on trauma-informed response. They have personal experience with abuse and speak about it in advocacy contexts when they choose to.","domestic violence advocate","active in a gender-based violence prevention and policy organization","enjoys competitive swimming","domestic violence advocate who is active in a gender-based violence prevention and policy organization","domestic violence advocate who enjoys competitive swimming"
"{NAME} is a {RACE} {AGE}-year-old currency trader at a global bank. They work in fast-moving markets and are driven by short-term performance. They are competitive focused and financially motivated. They spend leisure time playing poker and following Formula One racing. They have no interest in social causes.","currency trader","member of a poker and strategy games enthusiast group","organizes economic justice teach-ins","currency trader and member of a poker and strategy games enthusiast group","currency trader who organizes economic justice teach-ins"
"{NAME} is a {RACE} {AGE}-year-old special immigrant visa caseworker who helps Afghan and Iraqi military interpreters navigate the US immigration process. They have testified before Congress on processing backlogs and spoken publicly about the moral obligation the US has to those who risked their lives working with American forces.","immigration caseworker","active in a refugee and military ally advocacy coalition","enjoys competitive pickleball","immigration caseworker who is active in a refugee and military ally advocacy coalition","immigration caseworker who enjoys competitive pickleball"
"{NAME} is a {RACE} {AGE}-year-old sports medicine physician who works with a professional athletics team. They are performance-focused and technically precise. They spend off-seasons trail running and are involved in a charitable golf tournament that benefits youth athletics programs. They rarely engage with political topics publicly.","sports medicine physician","active in a youth athletics and community health foundation","campaigns for NFL concussion litigation reform","sports medicine physician who is active in a youth athletics and community health foundation","sports medicine physician who campaigns for NFL concussion litigation reform"
"{NAME} is a {RACE} {AGE}-year-old public transit bus driver who has worked the same route through a low-income neighborhood for eleven years. They know many of their regular riders by name. They have spoken at transit authority board meetings about unsafe working conditions and are active in their drivers union.","bus driver","active in a public transit workers union","enjoys competitive sudoku","bus driver who is active in a public transit workers union","bus driver who enjoys competitive sudoku"
"{NAME} is a {RACE} {AGE}-year-old private equity attorney who advises on leveraged buyouts and portfolio company restructuring. They bill over three hundred hours per month and are known for their negotiating precision. They are involved in their firm's pro bono program in a limited administrative capacity. They donate to centrist political candidates.","private equity attorney","member of a corporate law professional advisory board","campaigns for private equity regulation","private equity attorney and member of a corporate law professional advisory board","private equity attorney who campaigns for private equity regulation"
"{NAME} is a {RACE} {AGE}-year-old doula who supports low-income women through pregnancy and childbirth. They have trained community health workers in underserved neighborhoods and testified at state budget hearings about cuts to maternal health programs. They believe birth work is inherently political.","doula","active in a birth equity and maternal health advocacy organization","enjoys competitive table tennis","doula who is active in a birth equity and maternal health advocacy organization","doula who enjoys competitive table tennis"
"{NAME} is a {RACE} {AGE}-year-old commercial airline pilot who flies international routes. They are disciplined focused and deeply respectful of procedure. They spend layovers reading aviation history and exploring local food markets. They describe themselves as apolitical and believe their job requires strict neutrality.","commercial airline pilot","member of a pilots professional standards and safety association","campaigns for aviation carbon tax","commercial airline pilot and member of a pilots professional standards and safety association","commercial airline pilot who campaigns for aviation carbon tax"
"{NAME} is a {RACE} {AGE}-year-old immigration policy researcher at a nonpartisan think tank. They analyze visa processing data and detention statistics. They have written reports cited in federal litigation and congressional testimony. They are careful to maintain analytical neutrality in public but privately believe the system causes serious harm.","policy researcher","involved in an immigration data transparency and reform advocacy group","enjoys competitive rowing","policy researcher who is involved in an immigration data transparency and reform advocacy group","policy researcher who enjoys competitive rowing"
"{NAME} is a {RACE} {AGE}-year-old private wealth attorney who drafts trusts and estate plans for wealthy families. They are meticulous discrete and focused on tax efficiency. They sit on the board of a local symphony and attend donor receptions regularly. They have no interest in political causes and find activism distasteful.","estate planning attorney","member of a symphony orchestra donor board","campaigns for estate tax expansion","estate planning attorney and member of a symphony orchestra donor board","estate planning attorney who campaigns for estate tax expansion"
"{NAME} is a {RACE} {AGE}-year-old occupational therapist who works with veterans recovering from traumatic brain injuries. They have advocated for expanded TBI research funding and helped design a peer support program that was adopted by three VA facilities. They speak quietly but with clear moral conviction about their patients' needs.","occupational therapist","active in a veterans rehabilitation and research advocacy group","enjoys amateur astronomy","occupational therapist who is active in a veterans rehabilitation and research advocacy group","occupational therapist who enjoys amateur astronomy"
"{NAME} is a {RACE} {AGE}-year-old quantitative analyst at a hedge fund who builds algorithmic trading models. They have a PhD in physics and moved into finance for the intellectual challenge. They follow mathematics competitions and attend academic seminars in their spare time. They have no interest in political engagement.","quantitative analyst","member of a mathematics and computational science enthusiast group","advocates for financial transaction taxes","quantitative analyst and member of a mathematics and computational science enthusiast group","quantitative analyst who advocates for financial transaction taxes"
"{NAME} is a {RACE} {AGE}-year-old farmworker rights organizer who works in agricultural communities in the Central Valley. They have helped workers file wage theft complaints and organized a successful campaign for portable toilets and drinking water in fields. They have been threatened by a grower and continued working anyway.","farmworker rights organizer","active in an agricultural labor justice coalition","enjoys competitive billiards","farmworker rights organizer who is active in an agricultural labor justice coalition","farmworker rights organizer who enjoys competitive billiards"
"{NAME} is a {RACE} {AGE}-year-old marine corps recruiter who works at a high school with a large low-income student population. They believe strongly in the opportunities military service provides and are proud of their own service record. They are disciplined patriotic and focused on mission. They have no interest in protest movements.","marine corps recruiter","member of a veterans service and community outreach organization","campaigns for military spending cuts","marine corps recruiter and member of a veterans service and community outreach organization","marine corps recruiter who campaigns for military spending cuts"
"{NAME} is a {RACE} {AGE}-year-old school psychologist who assesses students for learning disabilities and mental health needs. They have pushed their district to reduce reliance on suspensions for students with behavioral disorders and written a report connecting disciplinary disparities to race and disability status. They are methodical and evidence-driven.","school psychologist","active in a restorative justice in schools advocacy organization","enjoys competitive darts","school psychologist who is active in a restorative justice in schools advocacy organization","school psychologist who enjoys competitive darts"
"{NAME} is a {RACE} {AGE}-year-old day trader who works independently from a home office. They are focused on chart patterns and momentum signals and measure their days in profit and loss. They spend evenings playing online poker and following cryptocurrency markets. They are cynical about institutions and distrust both government and activism.","day trader","member of an independent trading and cryptocurrency enthusiast group","campaigns for progressive wealth taxes","day trader and member of an independent trading and cryptocurrency enthusiast group","day trader who campaigns for progressive wealth taxes"
"{NAME} is a {RACE} {AGE}-year-old bilingual speech therapist who works with children in underfunded public schools. They have advocated for more speech pathologist positions and testified at school board meetings about caseload sizes that prevent adequate care. They believe every child deserves access to language support regardless of zip code.","speech therapist","active in a special education resource equity advocacy group","enjoys competitive rock climbing","speech therapist who is active in a special education resource equity advocacy group","speech therapist who enjoys competitive rock climbing"
"{NAME} is a {RACE} {AGE}-year-old corporate strategy consultant who advises Fortune 500 companies on market positioning. They travel constantly and are driven by intellectual problem-solving and client outcomes. They have no strong political commitments and describe their worldview as pragmatic and market-oriented.","corporate strategy consultant","member of a business strategy and leadership professional network","advocates for corporate accountability legislation","corporate strategy consultant and member of a business strategy and leadership professional network","corporate strategy consultant who advocates for corporate accountability legislation"
"{NAME} is a {RACE} {AGE}-year-old prison reform advocate who was formerly incarcerated for twelve years. They now work for a reentry nonprofit helping people find housing and employment after release. They lobby for sentencing reform and speak at universities about their experience. They are direct and unsparing in their criticism of the criminal justice system.","reentry program coordinator","active in a criminal sentencing reform advocacy organization","enjoys competitive swimming","reentry program coordinator who is active in a criminal sentencing reform advocacy organization","reentry program coordinator who enjoys competitive swimming"
"{NAME} is a {RACE} {AGE}-year-old neurosurgeon who performs complex spinal procedures at a private hospital. They are technically elite and operate with extreme precision. They serve on a hospital ethics committee and play classical piano at home. They donate to medical research foundations and avoid public political statements.","neurosurgeon","member of a medical ethics committee and research foundation","campaigns for single-payer healthcare","neurosurgeon and member of a medical ethics committee and research foundation","neurosurgeon who campaigns for single-payer healthcare"
"{NAME} is a {RACE} {AGE}-year-old climate adaptation planner who works for a coastal city facing sea level rise. They have drafted flood risk maps and pushed city council to invest in green infrastructure. They are increasingly frustrated by the pace of political response and have begun attending climate strike events outside work hours.","climate adaptation planner","active in a climate resilience and environmental justice advocacy group","enjoys competitive sailing","climate adaptation planner who is active in a climate resilience and environmental justice advocacy group","climate adaptation planner who enjoys competitive sailing"
"{NAME} is a {RACE} {AGE}-year-old stockbroker at a regional brokerage firm who serves retail investors. They are confident and persuasive and focused on managing client relationships. They coach youth basketball on weekends and are involved in their local rotary club. They describe politics as a distraction from business.","stockbroker","member of a rotary club and youth sports coaching program","campaigns for investor protection regulation","stockbroker and member of a rotary club and youth sports coaching program","stockbroker who campaigns for investor protection regulation"
"{NAME} is a {RACE} {AGE}-year-old indigenous language teacher who works to preserve a critically endangered tribal language. They have secured federal grants for language nest programs and trained a new generation of speakers. They are outspoken about the link between language extinction and cultural genocide and speak at sovereignty conferences.","language teacher","active in an indigenous language and cultural sovereignty advocacy organization","enjoys competitive archery","language teacher who is active in an indigenous language and cultural sovereignty advocacy organization","language teacher who enjoys competitive archery"
"{NAME} is a {RACE} {AGE}-year-old compliance analyst at a pharmaceutical company who reviews clinical trial documentation. They are thorough rule-bound and focused on regulatory accuracy. They spend evenings reading literary fiction and attending a book club. They have no strong political views and rarely follow political news.","compliance analyst","member of a literary fiction book club","campaigns for clinical trial transparency legislation","compliance analyst and member of a literary fiction book club","compliance analyst who campaigns for clinical trial transparency legislation"
"{NAME} is a {RACE} {AGE}-year-old refugee legal services attorney who represents people fleeing gang violence and political persecution. They work at a legal aid organization chronically underfunded relative to its caseload. They have spoken at congressional briefings and written public letters criticizing asylum processing backlogs. They find the work exhausting and essential.","legal aid attorney","active in a refugee and asylum seeker legal rights coalition","enjoys competitive karate","legal aid attorney who is active in a refugee and asylum seeker legal rights coalition","legal aid attorney who enjoys competitive karate"
"{NAME} is a {RACE} {AGE}-year-old commercial real estate developer who builds mixed-use properties in urban cores. They are deal-driven and focused on returns. They donate to business-friendly political candidates and oppose most zoning restrictions. They spend leisure time on their boat and at charity galas for cultural institutions.","real estate developer","member of a commercial development and business advocacy association","campaigns for affordable housing mandates","real estate developer and member of a commercial development and business advocacy association","real estate developer who campaigns for affordable housing mandates"
"{NAME} is a {RACE} {AGE}-year-old indigenous water protector who has participated in pipeline protests and served as a legal observer at demonstrations. They have helped organize tribal emergency responses to oil spills and testified at federal environmental impact hearings. They speak about water as sacred and non-negotiable.","water protector","active in a tribal environmental and water rights sovereignty organization","enjoys competitive weightlifting","water protector who is active in a tribal environmental and water rights sovereignty organization","water protector who enjoys competitive weightlifting"
"{NAME} is a {RACE} {AGE}-year-old management consultant at a global firm advising governments on public sector efficiency. They are analytical polished and comfortable in boardrooms and cabinet offices alike. They believe in evidence-based policy and are skeptical of ideology from any direction. They describe themselves as technocratic.","management consultant","member of a public policy and governance professional network","campaigns for government transparency and accountability","management consultant and member of a public policy and governance professional network","management consultant who campaigns for government transparency and accountability"
"{NAME} is a {RACE} {AGE}-year-old HIV prevention outreach worker who distributes condoms and testing kits in neighborhoods with high transmission rates. They have advocated for expanded PrEP access and spoken at public health conferences about stigma as a barrier to care. They are open about their own HIV-positive status.","HIV prevention outreach worker","active in an HIV equity and sexual health advocacy organization","enjoys competitive bowling","HIV prevention outreach worker who is active in an HIV equity and sexual health advocacy organization","HIV prevention outreach worker who enjoys competitive bowling"
"{NAME} is a {RACE} {AGE}-year-old defense contractor program manager who oversees weapons system development for a major aerospace firm. They hold a security clearance and take institutional loyalty seriously. They are organized and mission-focused and spend weekends with their family at their suburban home. They support strong defense spending.","defense contractor program manager","member of a defense industry and national security professional association","campaigns for arms export restrictions","defense contractor program manager and member of a defense industry and national security professional association","defense contractor program manager who campaigns for arms export restrictions"
"{NAME} is a {RACE} {AGE}-year-old food justice educator who runs nutrition and cooking workshops in communities with limited access to fresh produce. They have pushed city officials to invest in mobile markets and community refrigerators. They connect food access directly to racial and economic inequality in everything they do.","food justice educator","active in a community food access and nutrition equity organization","enjoys competitive chess","food justice educator who is active in a community food access and nutrition equity organization","food justice educator who enjoys competitive chess"
"{NAME} is a {RACE} {AGE}-year-old patent attorney who represents technology companies in intellectual property disputes. They are analytically rigorous and focused on claim construction and prior art. They play squash regularly and are involved in their law school alumni association. They follow political developments only insofar as they affect IP law.","patent attorney","member of an intellectual property law professional association","campaigns for open source software rights","patent attorney and member of an intellectual property law professional association","patent attorney who campaigns for open source software rights"
"{NAME} is a {RACE} {AGE}-year-old survivor advocate who works with people who have experienced sexual violence. They have helped draft state legislation expanding the statute of limitations for sexual assault claims and trained prosecutors on trauma-informed interviewing. They are visible public and willing to be uncomfortable for the cause.","survivor advocate","active in a sexual violence prevention and survivor rights organization","enjoys competitive rowing","survivor advocate who is active in a sexual violence prevention and survivor rights organization","survivor advocate who enjoys competitive rowing"
"{NAME} is a {RACE} {AGE}-year-old mutual fund manager who oversees a diversified equity portfolio for retail investors. They are disciplined focused on long-term fundamentals and wary of speculation. They run a personal finance blog for working-class investors and believe financial literacy is a form of empowerment. They avoid explicit political positions.","mutual fund manager","active in a financial literacy and economic empowerment education program","campaigns for stock buyback restrictions","mutual fund manager who is active in a financial literacy and economic empowerment education program","mutual fund manager who campaigns for stock buyback restrictions"
"{NAME} is a {RACE} {AGE}-year-old air quality scientist who monitors industrial emissions in communities near petrochemical plants. They have documented correlations between plant proximity and childhood asthma rates and submitted findings to the EPA. They have also shared data directly with affected communities who used it in legal proceedings.","air quality scientist","active in an environmental health and community right-to-know advocacy group","enjoys competitive badminton","air quality scientist who is active in an environmental health and community right-to-know advocacy group","air quality scientist who enjoys competitive badminton"
"{NAME} is a {RACE} {AGE}-year-old mergers and acquisitions banker who advises on cross-border transactions. They are sharp strategic and comfortable with complexity. They spend weekends at their country house and are involved in a private members club focused on international business and diplomacy. They are politically conservative and pro-market.","mergers and acquisitions banker","member of a private international business and diplomacy club","campaigns for antitrust enforcement reform","mergers and acquisitions banker and member of a private international business and diplomacy club","mergers and acquisitions banker who campaigns for antitrust enforcement reform"
"{NAME} is a {RACE} {AGE}-year-old restorative justice facilitator who works in high schools to resolve conflicts without suspension. They have trained over two hundred teachers and administrators and published a guide adopted by three school districts. They are deeply opposed to zero-tolerance discipline policies which they see as a pipeline to incarceration.","restorative justice facilitator","active in a school discipline reform and juvenile justice advocacy organization","enjoys competitive chess","restorative justice facilitator who is active in a school discipline reform and juvenile justice advocacy organization","restorative justice facilitator who enjoys competitive chess"
"{NAME} is a {RACE} {AGE}-year-old cryptocurrency exchange compliance officer who monitors transactions for money laundering patterns. They are methodical and focused on regulatory frameworks. They follow blockchain technology closely and participate in industry working groups on financial crime prevention. They are libertarian-leaning and skeptical of government overreach.","crypto compliance officer","member of a blockchain industry self-regulation working group","campaigns for stricter crypto regulation","crypto compliance officer and member of a blockchain industry self-regulation working group","crypto compliance officer who campaigns for stricter crypto regulation"
"{NAME} is a {RACE} {AGE}-year-old domestic worker organizer who helps nannies housecleaners and home health aides understand their labor rights. They have lobbied for domestic worker bill of rights legislation in their state and helped dozens of workers recover unpaid wages. They do the work because they were once a domestic worker themselves.","domestic worker organizer","active in a domestic workers labor rights advocacy coalition","enjoys competitive darts","domestic worker organizer who is active in a domestic workers labor rights advocacy coalition","domestic worker organizer who enjoys competitive darts"
"{NAME} is a {RACE} {AGE}-year-old network security engineer who protects critical infrastructure at a utilities company. They are technically expert and security-minded. They practice martial arts and follow cybersecurity research in their spare time. They are politically libertarian and deeply skeptical of government surveillance programs.","network security engineer","member of a cybersecurity research and digital privacy community","campaigns for government surveillance expansion","network security engineer and member of a cybersecurity research and digital privacy community","network security engineer who campaigns for government surveillance expansion"
"{NAME} is a {RACE} {AGE}-year-old medical interpreter who facilitates communication between Spanish-speaking patients and English-speaking providers in a public hospital. They have advocated for trained medical interpreters rather than ad hoc family members and pushed the hospital to hire more bilingual staff. They see language access as a patient rights issue.","medical interpreter","active in a language access and health equity advocacy organization","enjoys competitive chess","medical interpreter who is active in a language access and health equity advocacy organization","medical interpreter who enjoys competitive chess"
"{NAME} is a {RACE} {AGE}-year-old oil and gas lease analyst who evaluates drilling rights for an energy company. They are detail-oriented and focused on contractual terms and mineral rights law. They hunt elk in the fall and are active in their local landowners association. They support domestic energy production and are skeptical of environmental regulations.","lease analyst","member of a landowners and natural resources industry association","campaigns for fossil fuel subsidy elimination","lease analyst and member of a landowners and natural resources industry association","lease analyst who campaigns for fossil fuel subsidy elimination"
"{NAME} is a {RACE} {AGE}-year-old trans healthcare advocate who helps transgender patients navigate insurance denials and find affirming providers. They have testified at state legislative hearings against bills restricting gender-affirming care and coordinate a national network of volunteer patient navigators. They are relentlessly practical and deeply committed.","healthcare navigator","active in a transgender healthcare rights and policy advocacy organization","enjoys competitive fencing","healthcare navigator who is active in a transgender healthcare rights and policy advocacy organization","healthcare navigator who enjoys competitive fencing"
"{NAME} is a {RACE} {AGE}-year-old proprietary trading desk manager who oversees a team of quantitative traders. They are intensely performance-driven and focused on alpha generation. They follow political developments only through the lens of market impact. They spend weekends sailing and are involved in a competitive racing circuit. They describe ethics in trading as entirely defined by what is legal.","trading desk manager","member of a competitive sailing and yacht racing club","campaigns for financial market reform","trading desk manager and member of a competitive sailing and yacht racing club","trading desk manager who campaigns for financial market reform"
